Player,Team,"Year 
Signed",Years,Value,APY,Guaranteed,"APY as % Of 
Cap At Signing","Inflated 
Value","Inflated 
APY","Inflated 
Guaranteed"
Brandon Doughty,Dolphins,2017,1,"$258,400","$258,400",$0,0.2%,"$395,182","$395,182",$0
Brandon Peters,Chargers,2022,3,"$2,567,000","$855,667","$7,000",0.4%,"$3,148,952","$1,049,651","$8,587"
Brandon Silvers,Jets,2019,3,"$1,755,000","$585,000",$0,0.3%,"$2,381,652","$793,884",$0
Brandon Weeden,Browns,2012,4,"$8,083,596","$2,020,899","$7,511,288",1.7%,"$17,118,992","$4,279,748","$15,906,990"
Brandon Weeden,Texans,2016,2,"$4,000,000","$2,000,000","$450,000",1.3%,"$6,579,507","$3,289,753","$740,194"
Brandon Weeden,Titans,2017,1,"$1,000,000","$1,000,000",$0,0.6%,"$1,529,341","$1,529,341",$0
Brandon Weeden,DAL/HOU,2014,2,"$1,230,000","$615,000",$0,0.5%,"$2,361,970","$1,180,985",$0
Brandon Weeden,Texans,2018,1,"$790,000","$790,000",$0,0.4%,"$1,138,634","$1,138,634",$0
Braxton Burmeister,Rams,2023,3,"$2,695,000","$898,333",$0,0.4%,"$3,061,846","$1,020,615",$0
Brendon Kay,Steelers,0,4,"$1,530,000","$510,000",$0,0%,$0,$0,$0
Brett Favre,Packers,1997,5,"$39,350,000","$7,870,000","$12,000,000",19%,"$242,437,159","$48,487,432","$73,932,552"
Brett Favre,NYJ/GB,2001,7,"$80,600,000","$11,514,286","$11,000,000",17.1%,"$305,396,336","$43,628,049","$41,679,401"
Brett Favre,Vikings,2010,1,"$16,000,000","$16,000,000","$16,000,000",12.4%,"$31,677,519","$31,677,519","$31,677,519"
Brett Favre,Packers,1994,5,"$19,000,000","$3,800,000","$2,500,000",11%,"$140,216,135","$28,043,227","$18,449,491"
Brett Favre,Vikings,2009,2,"$25,000,000","$12,500,000","$6,000,000",10.2%,"$51,910,569","$25,955,285","$12,458,537"
Brett Favre,Falcons,1991,3,"$1,431,000","$476,667","$450,000",0%,$0,$0,$0
Brett Favre,Packers,1991,3,"$1,431,000","$476,667",$0,0%,$0,$0,$0
Brett Hundley,Cardinals,2019,1,"$1,875,000","$1,875,000","$750,000",1%,"$2,544,501","$2,544,501","$1,017,800"
Brett Hundley,Colts,2021,1,"$990,000","$990,000",$0,0.5%,"$1,385,458","$1,385,458",$0
Brett Hundley,Colts,2021,1,"$990,000","$990,000",$0,0.5%,"$1,385,458","$1,385,458",$0
Brett Hundley,Ravens,2022,1,"$1,120,000","$1,120,000",$0,0.5%,"$1,373,910","$1,373,910",$0
